Unnamed: 0,Doc,OP_Updated_Num,OP_Unit,OTR_Updated_Num,OTR_Unit,PCO2_Updated_Num,PCO2_Unit,WVTR_Updated_Num,WVTR_Unit,WVP_Updated_Num,WVP_Unit,thickness_Updated_Num,thickness_Unit,temperature_Updated_Num,temperature_Unit,RH_Updated_Num,RH_Unit,Base Material,Type,Secondary Material,Composition,Plasticizer,OTR_temperature_Num,OTR_RH_Num
54,Barrier properties of chitosan coated polyethylene,63.71350034989504,cm3um/m2dayatm,0.6371350034989505,cm3/m2day,,,,,,,0.0001,,25.0,°C,0.0,%,chitosan,individual,None,None,,25.0,0.0
55,Barrier properties of chitosan coated polyethylene,2653.912341497551,cm3um/m2dayatm,26.53912341497551,cm3/m2day,,,,,,,0.0001,,25.0,°C,96.0,%,chitosan,individual,None,None,,25.0,96.0
56,Barrier properties of chitosan coated polyethylene,536.6637144856544,cm3um/m2dayatm,5.3666371448565435,cm3/m2day,,,,,,,0.0001,,25.0,°C,0.0,%,chitosan,individual,None,"[‘CS’, ’2.0’, ‘%’]","[‘GLY’, ’23.0’, ‘%’]",25.0,0.0
57,Barrier properties of chitosan coated polyethylene,9197.411353393984,cm3um/m2dayatm,91.97411353393983,cm3/m2day,,,,,,,0.0001,,25.0,°C,96.0,%,chitosan,individual,None,"[‘CS’, ’2.0’, ‘%’]","[‘GLY’, ’23.0’, ‘%’]",25.0,96.0
58,Barrier properties of chitosan coated polyethylene,,,,,6.98e-17,gm/m2Pas,,,,,0.0001,,25.0,°C,0.0,%,chitosan,individual,None,None,,25.0,0.0
59,Barrier properties of chitosan coated polyethylene,,,,,7.8e-17,gm/m2Pas,,,,,0.0001,,25.0,°C,96.0,%,chitosan,individual,None,None,,25.0,96.0
60,Barrier properties of chitosan coated polyethylene,,,,,3.82e-16,gm/m2Pas,,,,,0.0001,,25.0,°C,0.0,%,chitosan,individual,None,"[‘CS’, ’2.0’, ‘%’]","[‘GLY’, ’23.0’, ‘%’]",25.0,0.0
61,Barrier properties of chitosan coated polyethylene,,,,,2.664e-15,gm/m2Pas,,,,,0.0001,,25.0,°C,96.0,%,chitosan,individual,None,"[‘CS’, ’2.0’, ‘%’]","[‘GLY’, ’23.0’, ‘%’]",25.0,96.0
62,Barrier properties of chitosan coated polyethylene,,,,,,,43.7724,g/m2day,43.199999999999996,gum/m2daykPa,0.0001,,25.0,°C,45.0,%,polyethylene,individual,None,None,,25.0,45.0
63,Barrier properties of chitosan coated polyethylene,,,,,,,150.187968,g/m2day,66.7008,gum/m2daykPa,4.5e-05,m,25.0,°C,33.0,%,polyethylene,individual,None,None,,25.0,33.0
64,Barrier properties of chitosan coated polyethylene,,,,,,,107.97192,g/m2day,47.952,gum/m2daykPa,4.5e-05,m,25.0,°C,45.0,%,polyethylene,individual,None,None,,25.0,45.0
65,Barrier properties of chitosan coated polyethylene,,,,,,,89.87932799999999,g/m2day,39.916799999999995,gum/m2daykPa,4.5e-05,m,25.0,°C,70.0,%,polyethylene,individual,None,None,,25.0,70.0
66,Barrier properties of chitosan coated polyethylene,,,,,,,225.07768080000002,g/m2day,222.1344,gum/m2daykPa,0.0001,,25.0,°C,33.0,%,chitosan,individual,None,"[‘CS’, ’2.0’, ‘%’]",,25.0,33.0
67,Barrier properties of chitosan coated polyethylene,,,,,,,19259.856,g/m2day,19008.0,gum/m2daykPa,0.0001,,25.0,°C,45.0,%,chitosan,individual,None,"[‘CS’, ’2.0’, ‘%’]",,25.0,45.0
68,Barrier properties of chitosan coated polyethylene,,,,,,,36427.39128,g/m2day,35951.04,gum/m2daykPa,0.0001,,25.0,°C,70.0,%,chitosan,individual,None,"[‘CS’, ’2.0’, ‘%’]",,25.0,70.0
69,Barrier properties of chitosan coated polyethylene,,,,,,,228.84210720000002,g/m2day,225.8496,gum/m2daykPa,0.0001,,25.0,°C,33.0,%,chitosan,individual,None,"[‘CS’, ’2.0’, ‘%’]",glycerol,25.0,33.0
70,Barrier properties of chitosan coated polyethylene,,,,,,,16677.2844,g/m2day,16459.2,gum/m2daykPa,0.0001,,25.0,°C,45.0,%,chitosan,individual,None,"[‘CS’, ’2.0’, ‘%’]",glycerol,25.0,45.0
71,Barrier properties of chitosan coated polyethylene,,,,,,,47361.736800000006,g/m2day,46742.4,gum/m2daykPa,0.0001,,25.0,°C,70.0,%,chitosan,individual,None,"[‘CS’, ’2.0’, ‘%’]",glycerol,25.0,70.0
72,Barrier properties of chitosan coated polyethylene,,,,,,,137.9706048,g/m2day,68.08319999999999,gum/m2daykPa,5e-05,m,25.0,°C,33.0,%,polyethylene,coated,chitosan,"[‘CS’, ’2.0’, ‘%’]",glycerol,25.0,33.0
73,Barrier properties of chitosan coated polyethylene,,,,,,,116.7847632,g/m2day,57.6288,gum/m2daykPa,5e-05,m,25.0,°C,45.0,%,polyethylene,coated,chitosan,"[‘CS’, ’2.0’, ‘%’]",glycerol,25.0,45.0
74,Barrier properties of chitosan coated polyethylene,,,,,,,216.5858352,g/m2day,106.8768,gum/m2daykPa,5e-05,m,25.0,°C,70.0,%,polyethylene,coated,chitosan,"[‘CS’, ’2.0’, ‘%’]",glycerol,25.0,70.0
75,Barrier properties of chitosan coated polyethylene,54095.21231630512,cm3um/m2dayatm,540.9521231630512,cm3/m2day,,,,,,,0.0001,,25.0,°C,0.0,%,chitosan,individual,None,"[‘CS’, ’1.0’, ‘%’]",glycerol,25.0,0.0
76,Gas separation properties of polyether-based polyurethane–silica nanocomposite membranes,,,,,1.3986438847302e-07,cm3cm/m2Pas,,,,,0.0001,m,25.0,°C,,,polyurethane,individual,None,None,,25.0,50.0
77,Gas separation properties of polyether-based polyurethane–silica nanocomposite membranes,,,,,9.00076506503053e-08,cm3cm/m2Pas,,,,,0.0001,m,25.0,°C,,,polyurethane,nanocomposite,silica,"[‘silica’, ’20.0’, ’%’]",,25.0,50.0
78,Gas separation properties of polyether-based polyurethane–silica nanocomposite membranes,1067699.5904651925,cm3um/m2dayatm,10676.995904651925,cm3/m2day,,,,,,,0.0001,m,25.0,°C,,,polyurethane,individual,None, ,,25.0,50.0
79,Gas separation properties of polyether-based polyurethane–silica nanocomposite membranes,504957.5553922084,cm3um/m2dayatm,5049.575553922084,cm3/m2day,,,,,,,0.0001,m,25.0,°C,,,polyurethane,nanocomposite,silica,"[‘silica’, ’20.0’, ’%’]",,25.0,50.0
80,Edible oxygen barrier bilayer film pouches from corn zein and soy protein isolate for olive oil packaging,6e-19,m3m/m2Pas,,,,,,,,,0.0001159,m,25.0,°C,50.0,%,SPI,individual,None,None,,25.0,50.0
81,Edible oxygen barrier bilayer film pouches from corn zein and soy protein isolate for olive oil packaging,8.1e-19,m3m/m2Pas,,,,,,,,,0.0001145,m,25.0,°C,50.0,%,SPI,bilayer,corn zein,None,glycerol,25.0,50.0
82,Edible oxygen barrier bilayer film pouches from corn zein and soy protein isolate for olive oil packaging,3.51e-18,m3m/m2Pas,,,,,,,,,7.65e-05,m,25.0,°C,50.0,%,LDPE,individual,None,None,,25.0,50.0
83,Edible oxygen barrier bilayer film pouches from corn zein and soy protein isolate for olive oil packaging,2.1644e-16,m3m/m2Pas,,,,,,,,,0.0001,,,,,,LDPE,individual,None,None,,23.0,50.0
84,Edible oxygen barrier bilayer film pouches from corn zein and soy protein isolate for olive oil packaging,4.942e-17,m3m/m2Pas,,,,,,,,,0.0001,,,,,,HDPE,individual,None,None,,23.0,50.0
85,Edible oxygen barrier bilayer film pouches from corn zein and soy protein isolate for olive oil packaging,,,,,,,71002.68507333909,g/m2day,81216.0,gum/m2daykPa,0.0001159,m,25.0,°C,50.0,%,SPI,individual,None,None,,25.0,50.0
86,Edible oxygen barrier bilayer film pouches from corn zein and soy protein isolate for olive oil packaging,,,,,,,46639.58777292576,g/m2day,52704.0,gum/m2daykPa,0.0001145,m,25.0,°C,50.0,%,SPI,bilayer,corn zein,None,glycerol,25.0,50.0
87,Edible oxygen barrier bilayer film pouches from corn zein and soy protein isolate for olive oil packaging,,,,,,,114.43764705882353,g/m2day,86.39999999999999,gum/m2daykPa,7.65e-05,m,25.0,°C,50.0,%,LDPE,individual,None,None,,25.0,50.0
88,Gas barrier properties of nanocomposites based on in situ polymerized poly(n-butyl methacrylate) in the presence of surface modified montmorillonite,,,,,4.22285894301016e-08,cm3cm/m2Pas,,,,,0.0001,,25.0,°C,,,poly(n-butyl methacrylate),nanocomposite,montmorillonite,"[‘MMT’, ‘0.0’, ’%’]",,25.0,50.0
89,Gas barrier properties of nanocomposites based on in situ polymerized poly(n-butyl methacrylate) in the presence of surface modified montmorillonite,,,,,1.84515683833126e-08,cm3cm/m2Pas,,,,,0.0001,,25.0,°C,,,poly(n-butyl methacrylate),nanocomposite,montmorillonite,"[‘MMT’, ‘5.0’, ’%’]",,25.0,50.0
90,Gas barrier properties of nanocomposites based on in situ polymerized poly(n-butyl methacrylate) in the presence of surface modified montmorillonite,,,,,2.25019126625763e-08,cm3cm/m2Pas,,,,,0.0001,,25.0,°C,,,poly(n-butyl methacrylate),nanocomposite,montmorillonite,"[‘MMT’, ‘5.0’, ’%’]",,25.0,50.0
91,Gas barrier properties of nanocomposites based on in situ polymerized poly(n-butyl methacrylate) in the presence of surface modified montmorillonite,,,,,1.87515938854803e-08,cm3cm/m2Pas,,,,,0.0001,,25.0,°C,,,poly(n-butyl methacrylate),nanocomposite,montmorillonite,"[‘MMT’, ‘5.0’, ’%’]",,25.0,50.0
92,Soluble soybean polysaccharide A new carbohydrate to make a biodegradable film for sustainable green packaging,,,,,,,10573.592727272728,g/m2day,8035.2,gum/m2daykPa,7.7e-05,m,25.0,°C,75.0,%,soluble soybean polysaccharide,individual,None,None,"[‘GLY’, ’0.0’, ’%’]",25.0,75.0
93,Soluble soybean polysaccharide A new carbohydrate to make a biodegradable film for sustainable green packaging,,,,,,,15906.027042253523,g/m2day,11145.6,gum/m2daykPa,7.1e-05,m,25.0,°C,75.0,%,soluble soybean polysaccharide,individual,None,None,"[‘GLY’, ’20.0’, ’%’]",25.0,75.0
94,Soluble soybean polysaccharide A new carbohydrate to make a biodegradable film for sustainable green packaging,,,,,,,24464.574246575343,g/m2day,17625.6,gum/m2daykPa,7.3e-05,m,25.0,°C,75.0,%,soluble soybean polysaccharide,individual,None,None,"[‘GLY’, ’30.0’, ’%’]",25.0,75.0
95,Soluble soybean polysaccharide A new carbohydrate to make a biodegradable film for sustainable green packaging,,,,,,,35450.24,g/m2day,28339.2,gum/m2daykPa,8.1e-05,m,25.0,°C,75.0,%,soluble soybean polysaccharide,individual,None,None,"[‘GLY’, ’40.0’, ’%’]",25.0,75.0
96,Soluble soybean polysaccharide A new carbohydrate to make a biodegradable film for sustainable green packaging,,,,,,,20310.3936,g/m2day,10022.4,gum/m2daykPa,5e-05,m,25.0,°C,75.0,%,psyllium hydrocolloid,individual,None,None,"[‘GLY’, ’15.0’, ’%’]",25.0,75.0
97,Soluble soybean polysaccharide A new carbohydrate to make a biodegradable film for sustainable green packaging,,,,,,,22469.832000000002,g/m2day,13305.6,gum/m2daykPa,6e-05,m,25.0,°C,75.0,%,psyllium hydrocolloid,individual,None,None,"[‘GLY’, ’25.0’, ’%’]",25.0,75.0
